date,file_id,aoi,tank,conc
10/17/23,GRB_171023_tank8.csv,1,8,Green
10/17/23,GRB_171023_tank8.csv,2,8,Green
10/17/23,GRB_171023_tank8.csv,3,8,Green
10/17/23,GRB_171023_tank8.csv,4,8,red
10/17/23,GRB_171023_tank8.csv,5,8,red
10/17/23,GRB_171023_tank8.csv,6,8,red
10/17/23,GRB_171023_tank8.csv,7,8,Blue
10/17/23,GRB_171023_tank8.csv,8,8,Blue
10/17/23,GRB_171023_tank8.csv,9,8,Blue
10/17/23,PnkB_171023_tank6.csv,1,6,Pink
10/17/23,PnkB_171023_tank6.csv,2,6,Pink
10/17/23,PnkB_171023_tank6.csv,3,6,Pink
10/17/23,PnkB_171023_tank6.csv,4,6,Blue
10/17/23,PnkB_171023_tank6.csv,5,6,Blue
10/17/23,PnkB_171023_tank6.csv,6,6,Blue
10/17/23,PurRG_171023_tank6.csv,1,6,Purple
10/17/23,PurRG_171023_tank6.csv,2,6,Purple
10/17/23,PurRG_171023_tank6.csv,3,6,Purple
10/17/23,PurRG_171023_tank6.csv,4,6,red
10/17/23,PurRG_171023_tank6.csv,5,6,red
10/17/23,PurRG_171023_tank6.csv,6,6,red
10/17/23,PurRG_171023_tank6.csv,7,6,Green
10/17/23,PurRG_171023_tank6.csv,8,6,Green
10/17/23,PurRG_171023_tank6.csv,9,6,Green
10/17/23,PurYPnk_171023_tank8.csv,1,8,Purple
10/17/23,PurYPnk_171023_tank8.csv,2,8,Purple
10/17/23,PurYPnk_171023_tank8.csv,3,8,Purple
10/17/23,PurYPnk_171023_tank8.csv,4,8,Yellow
10/17/23,PurYPnk_171023_tank8.csv,5,8,Yellow
10/17/23,PurYPnk_171023_tank8.csv,6,8,Yellow
10/17/23,PurYPnk_171023_tank8.csv,7,8,Pink
10/17/23,PurYPnk_171023_tank8.csv,8,8,Pink
10/17/23,PurYPnk_171023_tank8.csv,9,8,Pink
10/17/23,RPnkPur_171023_tank3.csv,1,3,red
10/17/23,RPnkPur_171023_tank3.csv,2,3,red
10/17/23,RPnkPur_171023_tank3.csv,3,3,red
10/17/23,RPnkPur_171023_tank3.csv,4,3,Pink
10/17/23,RPnkPur_171023_tank3.csv,5,3,Pink
10/17/23,RPnkPur_171023_tank3.csv,6,3,Pink
10/17/23,RPnkPur_171023_tank3.csv,7,3,Purple
10/17/23,RPnkPur_171023_tank3.csv,8,3,Purple
10/17/23,RPnkPur_171023_tank3.csv,9,3,Purple
10/17/23,Yellow_171023_tank6.csv,1,6,Yellow
10/17/23,Yellow_171023_tank6.csv,2,6,Yellow
10/17/23,Yellow_171023_tank6.csv,3,6,Yellow
10/18/23,Blue_181023.csv,1,6,Blue
10/18/23,Blue_181023.csv,2,6,Blue
10/18/23,Blue_181023.csv,3,6,Blue
10/18/23,Blue_181023.csv,4,3,Blue
10/18/23,Blue_181023.csv,5,3,Blue
10/18/23,Blue_181023.csv,6,3,Blue
10/18/23,Blue_181023.csv,7,8,Blue
10/18/23,Blue_181023.csv,8,8,Blue
10/18/23,Blue_181023.csv,9,8,Blue
10/18/23,Green_181023.csv,1,6,Green 
10/18/23,Green_181023.csv,2,6,Green
10/18/23,Green_181023.csv,3,6,Green
10/18/23,Green_181023.csv,4,3,Green
10/18/23,Green_181023.csv,5,3,Green
10/18/23,Green_181023.csv,6,3,Green
10/18/23,Green_181023.csv,7,8,Green
10/18/23,Green_181023.csv,8,8,Green
10/18/23,Green_181023.csv,9,8,Green
10/18/23,Pink_181023.csv,1,6,Pink
10/18/23,Pink_181023.csv,2,6,Pink
10/18/23,Pink_181023.csv,3,6,Pink
10/18/23,Pink_181023.csv,4,3,Pink
10/18/23,Pink_181023.csv,5,3,Pink
10/18/23,Pink_181023.csv,6,3,Pink
10/18/23,Pink_181023.csv,7,8,Pink
10/18/23,Pink_181023.csv,8,8,Pink
10/18/23,Pink_181023.csv,9,8,Pink
10/18/23,Purple_181023.csv,1,6,Purple
10/18/23,Purple_181023.csv,2,6,Purple
10/18/23,Purple_181023.csv,3,6,Purple
10/18/23,Purple_181023.csv,4,3,Purple
10/18/23,Purple_181023.csv,5,3,Purple
10/18/23,Purple_181023.csv,6,3,Purple
10/18/23,Purple_181023.csv,7,8,Purple
10/18/23,Purple_181023.csv,8,8,Purple
10/18/23,Purple_181023.csv,9,8,Purple
10/18/23,red_181023.csv,1,6,red
10/18/23,red_181023.csv,2,6,red
10/18/23,red_181023.csv,3,6,red
10/18/23,red_181023.csv,4,3,red
10/18/23,red_181023.csv,5,3,red
10/18/23,red_181023.csv,6,3,red
10/18/23,red_181023.csv,7,8,red
10/18/23,red_181023.csv,8,8,red
10/18/23,red_181023.csv,9,8,red
10/18/23,Yellow_181023.csv,1,6,Yellow
10/18/23,Yellow_181023.csv,2,6,Yellow
10/18/23,Yellow_181023.csv,3,6,Yellow
10/18/23,Yellow_181023.csv,4,3,Yellow
10/18/23,Yellow_181023.csv,5,3,Yellow
10/18/23,Yellow_181023.csv,6,3,Yellow
10/18/23,Yellow_181023.csv,7,8,Yellow
10/18/23,Yellow_181023.csv,8,8,Yellow
10/18/23,Yellow_181023.csv,9,8,Yellow
10/19/23,Blue_191023.csv,1,6,Blue
10/19/23,Blue_191023.csv,2,6,Blue
10/19/23,Blue_191023.csv,3,6,Blue
10/19/23,Blue_191023.csv,4,3,Blue
10/19/23,Blue_191023.csv,5,3,Blue
10/19/23,Blue_191023.csv,6,3,Blue
10/19/23,Blue_191023.csv,7,8,Blue
10/19/23,Blue_191023.csv,8,8,Blue
10/19/23,Blue_191023.csv,9,8,Blue
10/19/23,Green_191023.csv,1,6,Green
10/19/23,Green_191023.csv,2,6,Green
10/19/23,Green_191023.csv,3,6,Green
10/19/23,Green_191023.csv,4,3,Green
10/19/23,Green_191023.csv,5,3,Green
10/19/23,Green_191023.csv,6,3,Green
10/19/23,Green_191023.csv,7,8,Green
10/19/23,Green_191023.csv,8,8,Green
10/19/23,Green_191023.csv,9,8,Green
10/19/23,Pink_191023.csv,1,6,Pink
10/19/23,Pink_191023.csv,2,6,Pink
10/19/23,Pink_191023.csv,3,6,Pink
10/19/23,Pink_191023.csv,4,3,Pink
10/19/23,Pink_191023.csv,5,3,Pink
10/19/23,Pink_191023.csv,6,3,Pink
10/19/23,Pink_191023.csv,7,8,Pink
10/19/23,Pink_191023.csv,8,8,Pink
10/19/23,Pink_191023.csv,9,8,Pink
10/19/23,Purple_191023.csv,1,6,Purple
10/19/23,Purple_191023.csv,2,6,Purple
10/19/23,Purple_191023.csv,3,6,Purple
10/19/23,Purple_191023.csv,4,3,Purple
10/19/23,Purple_191023.csv,5,3,Purple
10/19/23,Purple_191023.csv,6,3,Purple
10/19/23,Purple_191023.csv,7,8,Purple
10/19/23,Purple_191023.csv,8,8,Purple
10/19/23,Purple_191023.csv,9,8,Purple
10/19/23,red_191023.csv,1,6,red
10/19/23,red_191023.csv,2,6,red
10/19/23,red_191023.csv,3,6,red
10/19/23,red_191023.csv,4,3,red
10/19/23,red_191023.csv,5,3,red
10/19/23,red_191023.csv,6,3,red
10/19/23,red_191023.csv,7,8,red
10/19/23,red_191023.csv,8,8,red
10/19/23,red_191023.csv,9,8,red
10/19/23,Yellow_191023.csv,1,6,Yellow
10/19/23,Yellow_191023.csv,2,6,Yellow
10/19/23,Yellow_191023.csv,3,6,Yellow
10/19/23,Yellow_191023.csv,4,3,Yellow
10/19/23,Yellow_191023.csv,5,3,Yellow
10/19/23,Yellow_191023.csv,6,3,Yellow
